"","year","month","AMO"
"1",1970,"1",-0.017
"2",1971,"1",-0.253
"3",1972,"1",-0.325
"4",1973,"1",-0.381
"5",1974,"1",-0.282
"6",1975,"1",-0.279
"7",1976,"1",-0.391
"8",1977,"1",-0.396
"9",1978,"1",-0.112
"10",1979,"1",-0.199
"11",1980,"1",-0.007
"12",1981,"1",-0.182
"13",1982,"1",-0.082
"14",1983,"1",-0.299
"15",1984,"1",-0.107
"16",1985,"1",-0.355
"17",1986,"1",-0.344
"18",1987,"1",-0.279
"19",1988,"1",-0.044
"20",1989,"1",-0.226
"21",1990,"1",-0.304
"22",1991,"1",-0.201
"23",1992,"1",-0.198
"24",1993,"1",-0.248
"25",1994,"1",-0.305
"26",1995,"1",-0.071
"27",1996,"1",-0.019
"28",1997,"1",-0.101
"29",1998,"1",0.12
"30",1999,"1",0.041
"31",2000,"1",-0.094
"32",2001,"1",-0.138
"33",2002,"1",0.171
"34",2003,"1",0.04
"35",2004,"1",0.2
"36",2005,"1",0.1
"37",2006,"1",0.113
"38",2007,"1",0.16
"39",2008,"1",0.02
"40",2009,"1",-0.07
"41",2010,"1",0.029
"42",2011,"1",0.133
"43",2012,"1",-0.076
"44",2013,"1",0.117
"45",2014,"1",-0.073
"46",2015,"1",-0.02
"47",2016,"1",0.219
"48",2017,"1",0.213
"49",2018,"1",0.161
"50",2019,"1",-0.027
"51",2020,"1",0.084
"52",1970,"2",-0.055
"53",1971,"2",-0.299
"54",1972,"2",-0.387
"55",1973,"2",-0.4
"56",1974,"2",-0.29
"57",1975,"2",-0.345
"58",1976,"2",-0.448
"59",1977,"2",-0.34
"60",1978,"2",-0.154
"61",1979,"2",-0.157
"62",1980,"2",-0.084
"63",1981,"2",-0.181
"64",1982,"2",-0.079
"65",1983,"2",-0.105
"66",1984,"2",-0.089
"67",1985,"2",-0.33
"68",1986,"2",-0.276
"69",1987,"2",-0.219
"70",1988,"2",-0.118
"71",1989,"2",-0.161
"72",1990,"2",-0.167
"73",1991,"2",-0.123
"74",1992,"2",-0.101
"75",1993,"2",-0.194
"76",1994,"2",-0.317
"77",1995,"2",-0.049
"78",1996,"2",-0.042
"79",1997,"2",-0.045
"80",1998,"2",0.282
"81",1999,"2",0.047
"82",2000,"2",-0.048
"83",2001,"2",-0.037
"84",2002,"2",0.155
"85",2003,"2",-0.023
"86",2004,"2",0.199
"87",2005,"2",0.115
"88",2006,"2",0.064
