"","year","NAME","month_min","day_min","hour_min","DIST2LAND_min","LANDFALL_min","USA_WIND_min","USA_PRES_min","USA_SSHS_min","STORM_SPEE_min","STORM_DIR_min","depth_min","avg_Global_ocean_SST_anom_min","North_Atlantic_SST_anom_min","GISTEMP_min","CO2_avg_annual_min","nao_min","AMO_min","month_mean","day_mean","hour_mean","DIST2LAND_mean","LANDFALL_mean","USA_WIND_mean","USA_PRES_mean","USA_SSHS_mean","STORM_SPEE_mean","STORM_DIR_mean","depth_mean","avg_Global_ocean_SST_anom_mean","North_Atlantic_SST_anom_mean","GISTEMP_mean","CO2_avg_annual_mean","nao_mean","AMO_mean","month_max","day_max","hour_max","DIST2LAND_max","LANDFALL_max","USA_WIND_max","USA_PRES_max","USA_SSHS_max","STORM_SPEE_max","STORM_DIR_max","depth_max","avg_Global_ocean_SST_anom_max","North_Atlantic_SST_anom_max","GISTEMP_max","CO2_avg_annual_max","nao_max","AMO_max"
"1",1970,"ALMA",5,17,0,0,0,25,993,-4,2,0,-5661,-0.267436333333333,-0.608057,-0.05,325.68,1.14,-0.054,5,22.0649350649351,10.4415584415584,153.38961038961,142.736842105263,30.7922077922078,1003.1,-0.857142857142857,8.98701298701299,146.415584415584,-1736.24675324675,-0.267436333333333,-0.608057,-0.05,325.68,1.14,-0.054,5,27,21,331,325,70,1008,1,16,359,138,-0.267436333333333,-0.608057,-0.05,325.68,1.14,-0.054
"2",1970,"BECKY",7,19,0,0,0,20,1003,-1,8,0,-4566,-0.267436333333333,-0.608057,-0.04,325.68,0.1,-0.207,7,20.8378378378378,9.89189189189189,175.837837837838,163.111111111111,36.0540540540541,1006.8,-0.540540540540541,11.4324324324324,233.648648648649,-1743.81081081081,-0.267436333333333,-0.608057,-0.04,325.68,0.1,-0.207,7,23,21,428,407,55,1015,0,21,359,302,-0.267436333333333,-0.608057,-0.04,325.68,0.1,-0.207
"3",1970,"CELIA",7,1,0,0,0,25,945,-1,8,287,-4815,-0.267436333333333,-0.608057,-0.11,325.68,0.1,-0.207,7.82978723404255,7.72340425531915,10.2765957446809,154.127659574468,140.847826086957,54.8723404255319,982.096774193548,0.276595744680851,11.6170212765957,304.872340425532,-1329.70212765957,-0.267436333333333,-0.608057,-0.0980851063829787,325.68,0.1,-0.158042553191489,8,31,21,416,403,110,1008,3,15,341,1743,-0.267436333333333,-0.608057,-0.04,325.68,0.1,-0.148
"4",1970,"DOROTHY",8,17,0,190,179,25,996,-1,11,272,-5410,-0.267436333333333,-0.608057,-0.11,325.68,0.1,-0.148,8,20.06,10.32,591.54,571.816326530612,39.84,1002.23529411765,-0.4,13.92,278.96,-3999.3,-0.267436333333333,-0.608057,-0.11,325.68,0.1,-0.148,8,23,21,1361,1294,60,1007,0,17,302,-1603,-0.267436333333333,-0.608057,-0.11,325.68,0.1,-0.148
"5",1970,"ELLA",9,8,0,0,0,20,967,-1,5,262,-4919,-0.267436333333333,-0.608057,0.11,325.68,-0.09,-0.145,9,10.4358974358974,10.5384615384615,118.282051282051,103.552631578947,51.5897435897436,981.909090909091,0.179487179487179,10.2820512820513,300.666666666667,-1549.02564102564,-0.267436333333333,-0.608057,0.11,325.68,-0.09,-0.145,9,13,21,432,366,110,1010,3,19,339,2775,-0.267436333333333,-0.608057,0.11,325.68,-0.09,-0.145
"6",1970,"FELICE",9,12,0,0,0,25,997,-1,2,10,-3299,-0.267436333333333,-0.608057,0.11,325.68,-0.09,-0.145,9,14.3333333333333,10,87.6888888888889,77.6136363636364,33.1555555555556,1003.76923076923,-0.711111111111111,9.82222222222222,268.422222222222,-503.822222222222,-0.267436333333333,-0.608057,0.11,325.68,-0.09,-0.145,9,17,21,373,340,60,1011,0,19,354,308,-0.267436333333333,-0.608057,0.11,325.68,-0.09,-0.145
"7",1970,"GRETA",9,1,0,0,0,25,1005,-1,1,220,-3477,-0.267436333333333,-0.608057,0.05,325.68,-0.92,-0.203,9.47826086956522,15.9565217391304,10.695652173913,143.63768115942,134.955882352941,29.9855072463768,1006.86363636364,-0.855072463768116,7.31884057971014,262.797101449275,-1157.55072463768,-0.267436333333333,-0.608057,0.081304347826087,325.68,-0.48695652173913,-0.172739130434783,10,30,21,302,278,45,1010,0,15,303,1371,-0.267436333333333,-0.608057,0.11,325.68,-0.09,-0.145
"8",1971,"ARLENE",7,4,0,18,13,25,1000,-4,6,25,-3544,-0.311916333333333,-0.587562333333333,-0.12,326.32,0.24,-0.357,7,5.79310344827586,10.9655172413793,215,197.821428571429,39.8965517241379,1001,-0.724137931034483,17.2413793103448,48.1034482758621,-2644.31034482759,-0.311916333333333,-0.587562333333333,-0.12,326.32,0.24,-0.357,7,8,21,333,324,55,1003,0,29,68,-85,-0.311916333333333,-0.587562333333333,-0.12,326.32,0.24,-0.357
"9",1971,"BETH",8,10,0,0,0,20,977,-4,3,10,-4763,-0.311916333333333,-0.587562333333333,-0.03,326.32,1.55,-0.442,8,13.5614035087719,10.5263157894737,220.631578947368,212.285714285714,43.0526315789474,990.90625,-0.631578947368421,10.5087719298246,41.280701754386,-2302.9298245614,-0.311916333333333,-0.587562333333333,-0.03,326.32,1.55,-0.442,8,17,21,460,452,75,1013,1,18,90,434,-0.311916333333333,-0.587562333333333,-0.03,326.32,1.55,-0.442
"10",1971,"CHLOE",8,18,0,0,0,25,1004,-1,5,251,-5170,-0.311916333333333,-0.587562333333333,-0.03,326.32,1.55,-0.442,8,21.5614035087719,10.5263157894737,298.771929824561,283.232142857143,30.7017543859649,1006.25,-0.789473684210526,12.859649122807,278.684210526316,-2874.19298245614,-0.311916333333333,-0.587562333333333,-0.03,326.32,1.55,-0.442,8,25,21,816,802,55,1007,0,25,298,18,-0.311916333333333,-0.587562333333333,-0.03,326.32,1.55,-0.442
"11",1971,"DORIA",8,20,0,0,0,25,989,-4,10,0,-7831,-0.311916333333333,-0.587562333333333,-0.03,326.32,1.55,-0.442,8,24.4722222222222,10.5416666666667,335.555555555556,317.591549295775,32.9861111111111,997.25,-0.875,16.0833333333333,226.888888888889,-2661.55555555556,-0.311916333333333,-0.587562333333333,-0.03,326.32,1.55,-0.442,8,29,21,935,901,55,1008,0,30,358,560,-0.311916333333333,-0.587562333333333,-0.03,326.32,1.55,-0.442
"12",1971,"EDITH",9,5,0,0,0,25,943,-1,2,8,-4806,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,11.5643564356436,10.4554455445545,113.455445544554,100.29,52.2376237623762,988.390243902439,0.297029702970297,11.5544554455446,218.554455445545,-1184.31683168317,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,18,21,448,433,140,1010,5,20,346,356,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373
"13",1971,"FERN",9,3,0,0,0,25,978,-1,1,195,-2915,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,7.80519480519481,10.6753246753247,100.545454545455,93.7763157894737,40.1038961038961,989.379310344828,-0.363636363636364,4.61038961038961,266.376623376623,-616.571428571429,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,13,21,354,350,80,1000,1,7,352,351,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373
"14",1971,"GINGER",9,1,0,0,0,25,959,-4,2,0,-6016,-0.311916333333333,-0.587562333333333,-0.05,326.32,0.39,-0.373,9.14767932489451,15.746835443038,10.3670886075949,975.118143459916,968.088983050847,59.126582278481,986.067961165049,0.270042194092827,5.72573839662447,185.35864978903,-4665.73839662447,-0.311916333333333,-0.587562333333333,-0.0159071729957806,326.32,0.418059071729958,-0.353654008438819,10,30,21,1741,1740,95,1008,2,22,353,108,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.58,-0.242
"15",1971,"HEIDI",9,11,0,0,0,25,996,-1,2,2,-5375,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,12.5757575757576,10.1818181818182,439.969696969697,429.71875,40.6060606060606,1000.30769230769,-0.333333333333333,12.4545454545455,149.030303030303,-3905.78787878788,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,15,21,638,629,55,1006,0,24,357,184,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373
"16",1971,"IRENE:OLIVIA",9,11,0,0,0,25,989,-1,5,255,-5024,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,15.5285714285714,10.2857142857143,232.185714285714,214.342857142857,35.7571428571429,999.636363636364,-0.571428571428571,11.1857142857143,270.271428571429,-2095.42857142857,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,20,21,791,754,70,1009,1,19,289,674,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373
"17",1971,"JANICE",9,21,0,599,599,25,1005,-1,13,273,-5887,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,22.551724137931,10.7586206896552,1030.06896551724,1008,39.3103448275862,1006.75,-0.379310344827586,16.3103448275862,291.310344827586,-4815.41379310345,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373,9,24,21,1595,1501,55,1009,0,21,316,-3276,-0.311916333333333,-0.587562333333333,-0.01,326.32,0.39,-0.373
"18",1971,"KRISTY",10,18,0,1039,1039,25,992,-4,9,9,-6276,-0.311916333333333,-0.587562333333333,-0.05,326.32,0.58,-0.242,10,19.4516129032258,10.1612903225806,1467.41935483871,1443.36666666667,32.7741935483871,1002.71428571429,-1.16129032258065,20.9354838709677,45.0967741935484,-4728.32258064516,-0.311916333333333,-0.587562333333333,-0.05,326.32,0.58,-0.242,10,21,21,1861,1792,45,1009,0,38,87,-1108,-0.311916333333333,-0.587562333333333,-0.05,326.32,0.58,-0.242
"19",1971,"LAURA",11,12,0,0,0,25,994,-1,2,0,-4863,-0.311916333333333,-0.587562333333333,-0.04,326.32,-0.2,-0.25,11,16.8051948051948,10.6753246753247,170.363636363636,162.171052631579,47.7532467532468,998.433333333333,-0.220779220779221,5.66233766233766,241.922077922078,-2931.11688311688,-0.311916333333333,-0.587562333333333,-0.04,326.32,-0.2,-0.25,11,22,21,404,391,60,1004,0,11,359,843,-0.311916333333333,-0.587562333333333,-0.04,326.32,-0.2,-0.25
