"","year","month","nao"
"1","1970","01",-1.5
"2","1970","02",0.64
"3","1970","03",-0.96
"4","1970","04",-1.3
"5","1970","05",1.14
"6","1970","06",1.55
"7","1970","07",0.1
"8","1970","08",0.1
"9","1970","09",-0.09
"10","1970","10",-0.92
"11","1970","11",-0.6
"12","1970","12",-1.2
"13","1971","01",-1.13
"14","1971","02",0.24
"15","1971","03",-0.84
"16","1971","04",-0.24
"17","1971","05",0.5
"18","1971","06",-1.57
"19","1971","07",0.24
"20","1971","08",1.55
"21","1971","09",0.39
"22","1971","10",0.58
"23","1971","11",-0.2
"24","1971","12",0.6
"25","1972","01",0.27
"26","1972","02",0.32
"27","1972","03",0.72
"28","1972","04",-0.22
"29","1972","05",0.95
"30","1972","06",0.88
"31","1972","07",0.18
"32","1972","08",1.32
"33","1972","09",-0.12
"34","1972","10",1.09
"35","1972","11",0.54
"36","1972","12",0.19
"37","1973","01",0.04
"38","1973","02",0.85
"39","1973","03",0.3
"40","1973","04",-0.54
"41","1973","05",-0.44
"42","1973","06",0.39
"43","1973","07",0.57
"44","1973","08",-0.06
"45","1973","09",-0.3
"46","1973","10",-1.24
"47","1973","11",-0.93
"48","1973","12",0.32
"49","1974","01",1.34
"50","1974","02",-0.14
"51","1974","03",-0.03
"52","1974","04",0.51
"53","1974","05",-0.24
"54","1974","06",-0.14
"55","1974","07",-0.76
"56","1974","08",-0.64
"57","1974","09",0.82
"58","1974","10",0.49
"59","1974","11",-0.54
"60","1974","12",1.5
"61","1975","01",0.58
"62","1975","02",-0.62
"63","1975","03",-0.61
"64","1975","04",-1.6
"65","1975","05",-0.52
"66","1975","06",-0.84
"67","1975","07",1.55
"68","1975","08",-0.26
"69","1975","09",1.56
"70","1975","10",-0.54
"71","1975","11",0.41
"72","1975","12",0
"73","1976","01",-0.25
"74","1976","02",0.93
"75","1976","03",0.75
"76","1976","04",0.26
"77","1976","05",0.96
"78","1976","06",0.8
"79","1976","07",-0.32
"80","1976","08",1.92
"81","1976","09",-1.29
"82","1976","10",-0.08
"83","1976","11",0.17
"84","1976","12",-1.6
"85","1977","01",-1.04
"86","1977","02",-0.49
"87","1977","03",-0.81
"88","1977","04",0.65
"89","1977","05",-0.86
"90","1977","06",-0.57
"91","1977","07",-0.45
"92","1977","08",-0.28
"93","1977","09",0.37
"94","1977","10",0.52
"95","1977","11",-0.07
"96","1977","12",-1
"97","1978","01",0.66
