"","year","month","GISTEMP"
"1",1970,1,0.09
"2",1970,2,0.22
"3",1970,3,0.08
"4",1970,4,0.09
"5",1970,5,-0.05
"6",1970,6,-0.03
"7",1970,7,-0.04
"8",1970,8,-0.11
"9",1970,9,0.11
"10",1970,10,0.05
"11",1970,11,0.01
"12",1970,12,-0.13
"13",1971,1,-0.02
"14",1971,2,-0.2
"15",1971,3,-0.18
"16",1971,4,-0.09
"17",1971,5,-0.06
"18",1971,6,-0.18
"19",1971,7,-0.12
"20",1971,8,-0.03
"21",1971,9,-0.01
"22",1971,10,-0.05
"23",1971,11,-0.04
"24",1971,12,-0.08
"25",1972,1,-0.24
"26",1972,2,-0.17
"27",1972,3,0.02
"28",1972,4,-0.01
"29",1972,5,-0.03
"30",1972,6,0.04
"31",1972,7,0.02
"32",1972,8,0.18
"33",1972,9,0.03
"34",1972,10,0.09
"35",1972,11,0.03
"36",1972,12,0.18
"37",1973,1,0.28
"38",1973,2,0.3
"39",1973,3,0.26
"40",1973,4,0.25
"41",1973,5,0.26
"42",1973,6,0.16
"43",1973,7,0.09
"44",1973,8,0.02
"45",1973,9,0.06
"46",1973,10,0.12
"47",1973,11,0.06
"48",1973,12,-0.06
"49",1974,1,-0.14
"50",1974,2,-0.28
"51",1974,3,-0.05
"52",1974,4,-0.1
"53",1974,5,-0.01
"54",1974,6,-0.05
"55",1974,7,-0.03
"56",1974,8,0.12
"57",1974,9,-0.12
"58",1974,10,-0.07
"59",1974,11,-0.07
"60",1974,12,-0.09
"61",1975,1,0.07
"62",1975,2,0.07
"63",1975,3,0.14
"64",1975,4,0.06
"65",1975,5,0.16
"66",1975,6,-0.02
"67",1975,7,-0.03
"68",1975,8,-0.2
"69",1975,9,-0.03
"70",1975,10,-0.09
"71",1975,11,-0.16
"72",1975,12,-0.17
"73",1976,1,0
"74",1976,2,-0.06
"75",1976,3,-0.21
"76",1976,4,-0.1
"77",1976,5,-0.23
"78",1976,6,-0.15
"79",1976,7,-0.12
"80",1976,8,-0.18
"81",1976,9,-0.09
"82",1976,10,-0.26
"83",1976,11,-0.06
"84",1976,12,0.09
"85",1977,1,0.18
"86",1977,2,0.2
"87",1977,3,0.25
"88",1977,4,0.27
"89",1977,5,0.3
"90",1977,6,0.25
"91",1977,7,0.23
"92",1977,8,0.19
"93",1977,9,0.02
"94",1977,10,0.04
"95",1977,11,0.2
"96",1977,12,0.05
"97",1978,1,0.08
"98",1978,2,0.14
"99",1978,3,0.21
"100",1978,4,0.15
"101",1978,5,0.07
"102",1978,6,-0.03
"103",1978,7,0.07
"104",1978,8,-0.18
"105",1978,9,0.05
"106",1978,10,0
"107",1978,11,0.16
"108",1978,12,0.11
"109",1979,1,0.14
"110",1979,2,-0.09
"111",1979,3,0.19
"112",1979,4,0.13
"113",1979,5,0.06
"114",1979,6,0.14
"115",1979,7,0.03
"116",1979,8,0.14
"117",1979,9,0.27
"118",1979,10,0.26
"119",1979,11,0.29
"120",1979,12,0.47
"121",1980,1,0.3
"122",1980,2,0.42
"123",1980,3,0.29
"124",1980,4,0.32
"125",1980,5,0.34
"126",1980,6,0.16
"127",1980,7,0.28
"128",1980,8,0.24
"129",1980,9,0.21
"130",1980,10,0.2
"131",1980,11,0.3
"132",1980,12,0.21
"133",1981,1,0.56
"134",1981,2,0.41
"135",1981,3,0.48
"136",1981,4,0.32
"137",1981,5,0.25
"138",1981,6,0.31
"139",1981,7,0.35
"140",1981,8,0.35
"141",1981,9,0.17
"142",1981,10,0.13
"143",1981,11,0.21
"144",1981,12,0.4
"145",1982,1,0.09
"146",1982,2,0.14
"147",1982,3,-0.01
"148",1982,4,0.1
"149",1982,5,0.16
"150",1982,6,0.05
"151",1982,7,0.13
"152",1982,8,0.08
"153",1982,9,0.15
"154",1982,10,0.13
"155",1982,11,0.14
"156",1982,12,0.43
"157",1983,1,0.52
"158",1983,2,0.4
"159",1983,3,0.42
"160",1983,4,0.3
"161",1983,5,0.35
"162",1983,6,0.18
"163",1983,7,0.15
"164",1983,8,0.3
"165",1983,9,0.38
"166",1983,10,0.15
"167",1983,11,0.3
"168",1983,12,0.17
"169",1984,1,0.3
"170",1984,2,0.17
"171",1984,3,0.29
"172",1984,4,0.08
"173",1984,5,0.33
"174",1984,6,0.04
"175",1984,7,0.16
"176",1984,8,0.15
"177",1984,9,0.2
"178",1984,10,0.15
"179",1984,11,0.04
"180",1984,12,-0.06
"181",1985,1,0.21
"182",1985,2,-0.06
"183",1985,3,0.17
"184",1985,4,0.11
"185",1985,5,0.17
"186",1985,6,0.17
"187",1985,7,0
"188",1985,8,0.15
"189",1985,9,0.14
"190",1985,10,0.11
"191",1985,11,0.09
"192",1985,12,0.15
"193",1986,1,0.3
"194",1986,2,0.39
"195",1986,3,0.29
"196",1986,4,0.26
"197",1986,5,0.26
"198",1986,6,0.12
"199",1986,7,0.13
"200",1986,8,0.12
"201",1986,9,0.02
"202",1986,10,0.14
"203",1986,11,0.11
"204",1986,12,0.16
"205",1987,1,0.36
"206",1987,2,0.46
"207",1987,3,0.17
"208",1987,4,0.24
"209",1987,5,0.26
"210",1987,6,0.36
"211",1987,7,0.46
"212",1987,8,0.28
"213",1987,9,0.39
"214",1987,10,0.32
"215",1987,11,0.25
"216",1987,12,0.47
"217",1988,1,0.57
"218",1988,2,0.42
"219",1988,3,0.49
"220",1988,4,0.45
"221",1988,5,0.44
"222",1988,6,0.42
"223",1988,7,0.35
"224",1988,8,0.46
"225",1988,9,0.42
"226",1988,10,0.4
"227",1988,11,0.13
"228",1988,12,0.34
"229",1989,1,0.16
"230",1989,2,0.35
"231",1989,3,0.36
"232",1989,4,0.33
"233",1989,5,0.17
"234",1989,6,0.15
"235",1989,7,0.34
"236",1989,8,0.36
"237",1989,9,0.37
"238",1989,10,0.32
"239",1989,11,0.21
"240",1989,12,0.37
"241",1990,1,0.41
"242",1990,2,0.41
"243",1990,3,0.76
"244",1990,4,0.55
"245",1990,5,0.46
"246",1990,6,0.38
"247",1990,7,0.44
"248",1990,8,0.3
"249",1990,9,0.3
"250",1990,10,0.43
"251",1990,11,0.46
"252",1990,12,0.42
"253",1991,1,0.42
"254",1991,2,0.51
"255",1991,3,0.36
"256",1991,4,0.53
"257",1991,5,0.39
"258",1991,6,0.54
"259",1991,7,0.51
"260",1991,8,0.42
"261",1991,9,0.5
"262",1991,10,0.32
"263",1991,11,0.31
"264",1991,12,0.33
"265",1992,1,0.45
"266",1992,2,0.42
"267",1992,3,0.47
"268",1992,4,0.24
"269",1992,5,0.32
"270",1992,6,0.24
"271",1992,7,0.13
"272",1992,8,0.1
"273",1992,9,0.01
"274",1992,10,0.11
"275",1992,11,0.04
"276",1992,12,0.22
"277",1993,1,0.37
"278",1993,2,0.39
"279",1993,3,0.36
"280",1993,4,0.28
"281",1993,5,0.26
"282",1993,6,0.24
"283",1993,7,0.28
"284",1993,8,0.13
"285",1993,9,0.11
"286",1993,10,0.24
"287",1993,11,0.07
"288",1993,12,0.19
"289",1994,1,0.3
"290",1994,2,0.04
"291",1994,3,0.26
"292",1994,4,0.41
"293",1994,5,0.29
"294",1994,6,0.42
"295",1994,7,0.32
"296",1994,8,0.23
